epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.955,1.39681,3.08802,1.90944,0.92597,0.287,0.60139,0.34467,1.42134,3.33534,2.01744,0.000465978,0.000465978,0.000465978
2,1257.12,1.47332,2.59443,1.93872,0.67179,0.5157,0.58902,0.31033,1.716,2.77379,2.40929,0.000849023,0.000849023,0.000849023
3,1735.85,1.48714,2.37991,1.96103,0.62979,0.5,0.5038,0.26679,1.70895,2.4676,2.42664,0.00113775,0.00113775,0.00113775
4,2217.39,1.47276,2.12066,1.95358,0.63886,0.54952,0.61696,0.34378,1.71709,2.08481,2.33974,0.00100459,0.00100459,0.00100459
5,2701.83,1.45004,1.92172,1.91971,0.6719,0.59783,0.6309,0.33497,1.65473,2.20952,2.28131,0.000863116,0.000863116,0.000863116
6,3243.78,1.42845,1.75218,1.88052,0.79197,0.63164,0.72035,0.44631,1.45433,1.70677,1.94847,0.000721645,0.000721645,0.000721645
7,3781.44,1.33137,1.62481,1.79549,0.84522,0.67271,0.80872,0.50886,1.38498,1.42338,1.83161,0.000580174,0.000580174,0.000580174
8,4256.55,1.26751,1.47367,1.68846,0.86398,0.68478,0.81698,0.54017,1.25423,1.30131,1.73726,0.000438703,0.000438703,0.000438703
9,4730.86,1.22293,1.38645,1.69272,0.82386,0.80314,0.87336,0.5972,1.18104,1.18769,1.63934,0.000297232,0.000297232,0.000297232
10,5204.15,1.15313,1.26281,1.58398,0.91506,0.76087,0.89146,0.62964,1.11124,1.09989,1.56336,0.000155761,0.000155761,0.000155761
